age,gender,date_first_booking,language_levenshtein_distance,country_destination,first_device_type,id
30,MALE,9/20/2010,0,US,Android Phone,1
19,FEMALE,5/6/2011,0,US,Android Phone,1
37,FEMALE,5/7/2011,0,US,Android Phone,1
45,FEMALE,6/7/2011,0,US,Android Phone,1
34,FEMALE,6/17/2011,0,US,Android Phone,1
49,MALE,7/27/2011,0,US,Android Phone,1
45,MALE,9/16/2011,0,US,Android Phone,1
30,FEMALE,9/26/2011,0,US,Android Phone,1
26,FEMALE,10/1/2011,0,US,Android Phone,1
39,FEMALE,10/7/2011,0,US,Android Phone,1
41,FEMALE,11/1/2011,0,US,Android Phone,1
30,MALE,11/10/2011,0,US,Android Phone,1
30,FEMALE,11/12/2011,0,US,Android Phone,1
25,FEMALE,11/16/2011,0,US,Android Phone,1
35,FEMALE,12/9/2011,0,US,Android Phone,1
38,MALE,1/16/2012,0,US,Android Phone,1
39,FEMALE,1/25/2012,0,US,Android Phone,1
31,FEMALE,2/19/2012,0,US,Android Phone,1
31,MALE,3/1/2012,0,US,Android Phone,1
28,FEMALE,3/5/2012,0,US,Android Phone,1
35,FEMALE,3/7/2012,0,US,Android Phone,1
59,MALE,3/8/2012,0,US,Android Phone,1
44,FEMALE,3/21/2012,0,US,Android Phone,1
35,MALE,3/23/2012,0,US,Android Phone,1
34,FEMALE,4/11/2012,0,US,Android Phone,1
26,FEMALE,4/18/2012,0,US,Android Phone,1
105,FEMALE,4/19/2012,0,US,Android Phone,1
33,MALE,5/1/2012,0,US,Android Phone,1
35,MALE,5/19/2012,0,US,Android Phone,1
33,MALE,5/20/2012,0,US,Android Phone,1
29,MALE,5/29/2012,0,US,Android Phone,1
25,FEMALE,6/20/2012,0,US,Android Phone,1
26,FEMALE,6/28/2012,0,US,Android Phone,1
25,MALE,7/7/2012,0,US,Android Phone,1
37,MALE,7/11/2012,0,US,Android Phone,1
35,FEMALE,7/14/2012,0,US,Android Phone,1
32,FEMALE,7/20/2012,0,US,Android Phone,1
26,MALE,7/22/2012,0,US,Android Phone,1
58,FEMALE,8/26/2012,0,US,Android Phone,1
55,MALE,9/3/2012,0,US,Android Phone,1
27,MALE,9/7/2012,0,US,Android Phone,1
57,MALE,9/14/2012,0,US,Android Phone,1
29,MALE,9/22/2012,0,US,Android Phone,1
41,FEMALE,9/25/2012,0,US,Android Phone,1
37,FEMALE,9/27/2012,0,US,Android Phone,1
28,FEMALE,10/1/2012,0,US,Android Phone,1
25,FEMALE,10/2/2012,0,US,Android Phone,1
33,MALE,10/9/2012,0,US,Android Phone,1
32,FEMALE,10/12/2012,0,US,Android Phone,1
31,FEMALE,10/15/2012,0,US,Android Phone,1
35,FEMALE,10/16/2012,0,US,Android Phone,1
44,FEMALE,10/17/2012,0,US,Android Phone,1
43,MALE,10/23/2012,0,US,Android Phone,1
32,MALE,10/29/2012,0,US,Android Phone,1
44,MALE,11/4/2012,0,US,Android Phone,1
44,MALE,11/6/2012,0,US,Android Phone,1
34,MALE,11/16/2012,0,US,Android Phone,1
40,MALE,11/20/2012,0,US,Android Phone,1
27,FEMALE,11/22/2012,0,US,Android Phone,1
31,OTHER,11/24/2012,0,US,Android Phone,1
27,FEMALE,11/27/2012,0,US,Android Phone,1
27,MALE,11/29/2012,0,US,Android Phone,1
35,FEMALE,12/3/2012,0,US,Android Phone,1
31,MALE,12/10/2012,0,US,Android Phone,1
26,FEMALE,12/13/2012,0,US,Android Phone,1
24,FEMALE,1/7/2013,0,US,Android Phone,1
29,FEMALE,1/7/2013,0,US,Android Phone,1
38,FEMALE,1/13/2013,0,US,Android Phone,1
34,MALE,1/24/2013,0,US,Android Phone,1
34,FEMALE,2/3/2013,0,US,Android Phone,1
33,FEMALE,2/18/2013,0,US,Android Phone,1
38,MALE,3/22/2013,0,US,Android Phone,1
55,MALE,4/5/2013,0,US,Android Phone,1
36,FEMALE,4/18/2013,0,US,Android Phone,1
33,FEMALE,4/22/2013,0,US,Android Phone,1
24,MALE,4/24/2013,0,US,Android Phone,1
35,MALE,4/27/2013,0,US,Android Phone,1
53,MALE,5/8/2013,0,US,Android Phone,1
40,FEMALE,5/19/2013,0,US,Android Phone,1
26,FEMALE,5/20/2013,0,US,Android Phone,1
24,FEMALE,5/22/2013,0,US,Android Phone,1
34,FEMALE,6/14/2013,0,US,Android Phone,1
33,FEMALE,6/19/2013,0,US,Android Phone,1
29,MALE,6/19/2013,0,US,Android Phone,1
33,FEMALE,7/2/2013,0,US,Android Phone,1
27,MALE,7/9/2013,0,US,Android Phone,1
30,MALE,7/19/2013,0,US,Android Phone,1
33,MALE,7/25/2013,0,US,Android Phone,1
41,FEMALE,7/27/2013,0,US,Android Phone,1
28,FEMALE,7/31/2013,0,US,Android Phone,1
26,FEMALE,8/5/2013,0,US,Android Phone,1
34,FEMALE,8/25/2013,0,US,Android Phone,1
26,MALE,8/31/2013,0,US,Android Phone,1
34,MALE,8/31/2013,0,US,Android Phone,1
33,MALE,9/2/2013,0,US,Android Phone,1
41,FEMALE,9/22/2013,0,US,Android Phone,1
38,FEMALE,9/30/2013,0,US,Android Phone,1
31,FEMALE,10/18/2013,0,US,Android Phone,1
44,FEMALE,10/21/2013,0,US,Android Phone,1
42,FEMALE,10/30/2013,0,US,Android Phone,1
26,FEMALE,11/4/2013,0,US,Android Phone,1
35,MALE,11/6/2013,0,US,Android Phone,1
31,FEMALE,11/13/2013,0,US,Android Phone,1
26,MALE,11/25/2013,0,US,Android Phone,1
33,MALE,12/21/2013,0,US,Android Phone,1
25,FEMALE,12/26/2013,0,US,Android Phone,1
26,MALE,1/7/2014,0,US,Android Phone,1
24,MALE,1/8/2014,0,US,Android Phone,1
30,MALE,1/8/2014,0,US,Android Phone,1
24,MALE,1/11/2014,0,US,Android Phone,1
30,FEMALE,1/15/2014,0,US,Android Phone,1
24,FEMALE,1/16/2014,0,US,Android Phone,1
27,MALE,1/17/2014,0,US,Android Phone,1
47,FEMALE,1/26/2014,0,US,Android Phone,1
38,FEMALE,2/1/2014,0,US,Android Phone,1
21,FEMALE,2/6/2014,0,US,Android Phone,1
23,FEMALE,2/12/2014,0,US,Android Phone,1
35,MALE,2/13/2014,0,US,Android Phone,1
23,MALE,2/26/2014,0,US,Android Phone,1
31,MALE,3/7/2014,0,US,Android Phone,1
32,FEMALE,3/8/2014,0,US,Android Phone,1
43,MALE,3/13/2014,0,US,Android Phone,1
33,FEMALE,3/25/2014,0,US,Android Phone,1
45,MALE,3/26/2014,0,US,Android Phone,1
29,FEMALE,3/28/2014,0,US,Android Phone,1
35,MALE,4/6/2014,0,US,Android Phone,1
36,MALE,4/7/2014,0,US,Android Phone,1
67,FEMALE,4/18/2014,0,US,Android Phone,1
22,FEMALE,4/21/2014,0,US,Android Phone,1
30,FEMALE,4/23/2014,0,US,Android Phone,1
19,FEMALE,4/25/2014,0,US,Android Phone,1
27,MALE,4/25/2014,0,US,Android Phone,1
45,FEMALE,4/28/2014,0,US,Android Phone,1
28,MALE,5/1/2014,0,US,Android Phone,1
29,MALE,5/1/2014,0,US,Android Phone,1
40,FEMALE,5/2/2014,0,US,Android Phone,1
53,MALE,5/2/2014,0,US,Android Phone,1
27,FEMALE,5/3/2014,0,US,Android Phone,1
28,MALE,5/4/2014,0,US,Android Phone,1
39,MALE,5/5/2014,0,US,Android Phone,1
40,MALE,5/5/2014,0,US,Android Phone,1
35,MALE,5/6/2014,0,US,Android Phone,1
30,FEMALE,5/7/2014,0,US,Android Phone,1
33,FEMALE,5/7/2014,0,US,Android Phone,1
31,MALE,5/9/2014,0,US,Android Phone,1
30,FEMALE,5/10/2014,0,US,Android Phone,1
31,MALE,5/10/2014,0,US,Android Phone,1
22,FEMALE,5/12/2014,0,US,Android Phone,1
32,FEMALE,5/12/2014,0,US,Android Phone,1
32,MALE,5/12/2014,0,US,Android Phone,1
32,FEMALE,5/13/2014,0,US,Android Phone,1
42,FEMALE,5/13/2014,0,US,Android Phone,1
27,FEMALE,5/14/2014,0,US,Android Phone,1
22,MALE,5/14/2014,0,US,Android Phone,1
35,MALE,5/14/2014,0,US,Android Phone,1
28,FEMALE,5/15/2014,0,US,Android Phone,1
24,FEMALE,5/16/2014,0,US,Android Phone,1
32,MALE,5/16/2014,0,US,Android Phone,1
38,MALE,5/17/2014,0,US,Android Phone,1
28,FEMALE,5/19/2014,0,US,Android Phone,1
35,MALE,5/19/2014,0,US,Android Phone,1
21,MALE,5/20/2014,0,US,Android Phone,1
53,FEMALE,5/21/2014,0,US,Android Phone,1
28,MALE,5/21/2014,0,US,Android Phone,1
44,MALE,5/21/2014,0,US,Android Phone,1
25,MALE,5/22/2014,0,US,Android Phone,1
46,MALE,5/23/2014,0,US,Android Phone,1
105,FEMALE,5/24/2014,0,US,Android Phone,1
67,MALE,5/24/2014,0,US,Android Phone,1
30,FEMALE,5/25/2014,0,US,Android Phone,1
89,MALE,5/25/2014,0,US,Android Phone,1
34,MALE,5/26/2014,0,US,Android Phone,1
27,FEMALE,5/27/2014,0,US,Android Phone,1
30,FEMALE,5/27/2014,0,US,Android Phone,1
36,FEMALE,5/28/2014,0,US,Android Phone,1
21,MALE,5/29/2014,0,US,Android Phone,1
26,MALE,5/30/2014,0,US,Android Phone,1
45,MALE,5/30/2014,0,US,Android Phone,1
24,FEMALE,5/31/2014,0,US,Android Phone,1
19,MALE,5/31/2014,0,US,Android Phone,1
30,MALE,6/1/2014,0,US,Android Phone,1
34,MALE,6/1/2014,0,US,Android Phone,1
23,MALE,6/3/2014,0,US,Android Phone,1
30,MALE,6/3/2014,0,US,Android Phone,1
34,MALE,6/3/2014,0,US,Android Phone,1
40,MALE,6/3/2014,0,US,Android Phone,1
51,MALE,6/3/2014,0,US,Android Phone,1
29,FEMALE,6/5/2014,0,US,Android Phone,1
32,FEMALE,6/6/2014,0,US,Android Phone,1
35,FEMALE,6/6/2014,0,US,Android Phone,1
23,MALE,6/6/2014,0,US,Android Phone,1
28,FEMALE,6/7/2014,0,US,Android Phone,1
31,FEMALE,6/7/2014,0,US,Android Phone,1
26,MALE,6/8/2014,0,US,Android Phone,1
56,MALE,6/8/2014,0,US,Android Phone,1
26,MALE,6/9/2014,0,US,Android Phone,1
30,MALE,6/9/2014,0,US,Android Phone,1
42,MALE,6/9/2014,0,US,Android Phone,1
25,FEMALE,6/10/2014,0,US,Android Phone,1
36,MALE,6/10/2014,0,US,Android Phone,1
41,MALE,6/10/2014,0,US,Android Phone,1
22,FEMALE,6/11/2014,0,US,Android Phone,1
24,FEMALE,6/11/2014,0,US,Android Phone,1
27,FEMALE,6/11/2014,0,US,Android Phone,1
29,MALE,6/11/2014,0,US,Android Phone,1
25,MALE,6/12/2014,0,US,Android Phone,1
24,FEMALE,6/13/2014,0,US,Android Phone,1
34,FEMALE,6/13/2014,0,US,Android Phone,1
39,FEMALE,6/13/2014,0,US,Android Phone,1
29,MALE,6/13/2014,0,US,Android Phone,1
38,MALE,6/14/2014,0,US,Android Phone,1
34,FEMALE,6/15/2014,0,US,Android Phone,1
24,MALE,6/15/2014,0,US,Android Phone,1
26,FEMALE,6/16/2014,0,US,Android Phone,1
49,MALE,6/16/2014,0,US,Android Phone,1
26,MALE,6/17/2014,0,US,Android Phone,1
28,MALE,6/17/2014,0,US,Android Phone,1
31,MALE,6/17/2014,0,US,Android Phone,1
32,MALE,6/17/2014,0,US,Android Phone,1
39,FEMALE,6/18/2014,0,US,Android Phone,1
31,MALE,6/18/2014,0,US,Android Phone,2
43,MALE,6/18/2014,0,US,Android Phone,1
40,FEMALE,6/19/2014,0,US,Android Phone,1
44,MALE,6/19/2014,0,US,Android Phone,1
23,FEMALE,6/20/2014,0,US,Android Phone,1
30,FEMALE,6/20/2014,0,US,Android Phone,1
44,MALE,6/20/2014,0,US,Android Phone,1
28,MALE,6/21/2014,0,US,Android Phone,1
29,MALE,6/21/2014,0,US,Android Phone,1
45,MALE,6/21/2014,0,US,Android Phone,1
36,FEMALE,6/22/2014,0,US,Android Phone,1
25,MALE,6/22/2014,0,US,Android Phone,1
32,MALE,6/22/2014,0,US,Android Phone,1
37,FEMALE,6/23/2014,0,US,Android Phone,1
42,FEMALE,6/23/2014,0,US,Android Phone,1
29,MALE,6/23/2014,0,US,Android Phone,1
28,FEMALE,6/24/2014,0,US,Android Phone,1
22,MALE,6/24/2014,0,US,Android Phone,1
30,FEMALE,6/25/2014,0,US,Android Phone,1
31,FEMALE,6/25/2014,0,US,Android Phone,1
39,FEMALE,6/25/2014,0,US,Android Phone,1
29,MALE,6/26/2014,0,US,Android Phone,1
30,MALE,6/26/2014,0,US,Android Phone,1
45,MALE,6/26/2014,0,US,Android Phone,1
59,MALE,6/26/2014,0,US,Android Phone,1
25,FEMALE,6/27/2014,0,US,Android Phone,1
25,MALE,6/27/2014,0,US,Android Phone,1
28,MALE,6/27/2014,0,US,Android Phone,1
35,MALE,6/27/2014,0,US,Android Phone,1
59,MALE,6/27/2014,0,US,Android Phone,1
28,FEMALE,6/28/2014,0,US,Android Phone,1
30,FEMALE,6/29/2014,0,US,Android Phone,1
28,MALE,6/29/2014,0,US,Android Phone,1
29,MALE,6/29/2014,0,US,Android Phone,1
46,MALE,6/30/2014,0,US,Android Phone,1
20,FEMALE,7/1/2014,0,US,Android Phone,1
29,MALE,7/1/2014,0,US,Android Phone,1
43,FEMALE,7/2/2014,0,US,Android Phone,1
57,FEMALE,7/3/2014,0,US,Android Phone,1
29,MALE,7/8/2014,0,US,Android Phone,1
69,MALE,7/8/2014,0,US,Android Phone,1
25,MALE,7/9/2014,0,US,Android Phone,1
44,FEMALE,7/11/2014,0,US,Android Phone,1
30,MALE,7/11/2014,0,US,Android Phone,1
46,MALE,7/12/2014,0,US,Android Phone,1
46,FEMALE,7/14/2014,0,US,Android Phone,1
30,MALE,7/17/2014,0,US,Android Phone,1
22,MALE,7/18/2014,0,US,Android Phone,1
30,FEMALE,7/20/2014,0,US,Android Phone,1
47,MALE,7/20/2014,0,US,Android Phone,1
25,MALE,7/22/2014,0,US,Android Phone,1
38,MALE,7/22/2014,0,US,Android Phone,1
28,FEMALE,7/25/2014,0,US,Android Phone,1
31,FEMALE,7/25/2014,0,US,Android Phone,1
30,FEMALE,7/28/2014,0,US,Android Phone,1
29,FEMALE,7/31/2014,0,US,Android Phone,1
38,MALE,7/31/2014,0,US,Android Phone,1
23,FEMALE,8/3/2014,0,US,Android Phone,1
41,FEMALE,8/4/2014,0,US,Android Phone,1
27,FEMALE,8/5/2014,0,US,Android Phone,1
57,MALE,8/13/2014,0,US,Android Phone,1
25,MALE,8/21/2014,0,US,Android Phone,1
31,MALE,8/23/2014,0,US,Android Phone,1
27,FEMALE,8/25/2014,0,US,Android Phone,1
29,MALE,8/25/2014,0,US,Android Phone,1
27,MALE,8/31/2014,0,US,Android Phone,1
31,MALE,9/1/2014,0,US,Android Phone,1
29,FEMALE,9/4/2014,0,US,Android Phone,1
37,FEMALE,9/13/2014,0,US,Android Phone,1
29,FEMALE,9/17/2014,0,US,Android Phone,1
27,FEMALE,9/20/2014,0,US,Android Phone,1
37,MALE,9/20/2014,0,US,Android Phone,1
33,FEMALE,9/22/2014,0,US,Android Phone,1
24,FEMALE,9/23/2014,0,US,Android Phone,1
25,MALE,9/23/2014,0,US,Android Phone,1
28,MALE,10/1/2014,0,US,Android Phone,1
41,MALE,10/7/2014,0,US,Android Phone,1
34,FEMALE,10/28/2014,0,US,Android Phone,1
25,FEMALE,10/31/2014,0,US,Android Phone,1
32,MALE,10/31/2014,0,US,Android Phone,1
41,MALE,11/24/2014,0,US,Android Phone,1
25,FEMALE,11/25/2014,0,US,Android Phone,1
26,MALE,11/25/2014,0,US,Android Phone,1
38,MALE,11/29/2014,0,US,Android Phone,1
33,MALE,12/13/2014,0,US,Android Phone,1
28,MALE,12/15/2014,0,US,Android Phone,1
48,MALE,12/16/2014,0,US,Android Phone,1
31,MALE,12/19/2014,0,US,Android Phone,1
37,MALE,12/19/2014,0,US,Android Phone,1
34,MALE,12/29/2014,0,US,Android Phone,1
32,FEMALE,12/31/2014,0,US,Android Phone,1
32,MALE,1/2/2015,0,US,Android Phone,1
32,FEMALE,1/5/2015,0,US,Android Phone,1
31,MALE,1/13/2015,0,US,Android Phone,1
26,FEMALE,1/27/2015,0,US,Android Phone,1
26,FEMALE,2/2/2015,0,US,Android Phone,1
87,MALE,2/4/2015,0,US,Android Phone,1
44,MALE,2/6/2015,0,US,Android Phone,1
37,FEMALE,2/11/2015,0,US,Android Phone,1
43,MALE,2/16/2015,0,US,Android Phone,1
41,MALE,2/25/2015,0,US,Android Phone,1
24,FEMALE,3/3/2015,0,US,Android Phone,1
36,FEMALE,3/4/2015,0,US,Android Phone,1
34,FEMALE,4/2/2015,0,US,Android Phone,1
28,FEMALE,4/8/2015,0,US,Android Phone,1
30,FEMALE,4/24/2015,0,US,Android Phone,1
25,MALE,4/26/2015,0,US,Android Phone,1
33,FEMALE,5/3/2015,0,US,Android Phone,1
35,MALE,5/5/2015,0,US,Android Phone,1
25,MALE,5/9/2015,0,US,Android Phone,1
23,FEMALE,5/12/2015,0,US,Android Phone,1
34,MALE,5/12/2015,0,US,Android Phone,1
37,MALE,5/13/2015,0,US,Android Phone,1
21,MALE,5/14/2015,0,US,Android Phone,1
26,FEMALE,5/15/2015,0,US,Android Phone,1
49,MALE,5/16/2015,0,US,Android Phone,1
36,FEMALE,5/17/2015,0,US,Android Phone,1
31,FEMALE,5/27/2015,0,US,Android Phone,1
46,FEMALE,6/1/2015,0,US,Android Phone,1
37,MALE,6/9/2015,0,US,Android Phone,1
63,MALE,4/5/2013,0,CA,Android Tablet,1
30,FEMALE,9/8/2013,0,CA,Android Tablet,1
21,FEMALE,5/3/2014,0,CA,Android Tablet,1
31,FEMALE,6/8/2014,0,CA,Android Tablet,1
40,MALE,11/21/2014,0,CA,Android Tablet,1
27,MALE,9/2/2013,72.61,DE,Android Tablet,1
46,FEMALE,5/10/2014,72.61,DE,Android Tablet,1
35,FEMALE,5/13/2011,92.25,ES,Android Tablet,1
50,FEMALE,9/18/2012,92.25,ES,Android Tablet,1
39,FEMALE,9/3/2013,92.25,ES,Android Tablet,1
34,MALE,11/19/2014,92.25,ES,Android Tablet,1
33,FEMALE,12/29/2014,92.25,ES,Android Tablet,1
39,FEMALE,4/8/2012,92.06,FR,Android Tablet,1
49,FEMALE,6/20/2012,92.06,FR,Android Tablet,1
62,MALE,12/7/2012,92.06,FR,Android Tablet,1
28,FEMALE,1/13/2013,92.06,FR,Android Tablet,1
66,MALE,3/26/2013,92.06,FR,Android Tablet,1
30,FEMALE,11/27/2013,92.06,FR,Android Tablet,1
38,FEMALE,2/6/2014,92.06,FR,Android Tablet,1
21,FEMALE,3/16/2014,92.06,FR,Android Tablet,1
28,FEMALE,3/20/2014,92.06,FR,Android Tablet,1
44,MALE,3/31/2014,92.06,FR,Android Tablet,1
29,FEMALE,4/4/2014,92.06,FR,Android Tablet,1
39,MALE,4/9/2014,92.06,FR,Android Tablet,1
33,MALE,4/20/2014,92.06,FR,Android Tablet,1
35,FEMALE,7/2/2014,92.06,FR,Android Tablet,1
59,FEMALE,7/5/2014,92.06,FR,Android Tablet,1
41,FEMALE,8/15/2014,92.06,FR,Android Tablet,1
21,MALE,7/1/2014,0,GB,Android Tablet,1
50,FEMALE,5/27/2011,89.4,IT,Android Tablet,1
27,FEMALE,7/16/2013,89.4,IT,Android Tablet,1
64,FEMALE,9/8/2013,89.4,IT,Android Tablet,1
26,FEMALE,10/28/2013,89.4,IT,Android Tablet,1
58,FEMALE,5/14/2014,89.4,IT,Android Tablet,1
33,FEMALE,7/1/2014,89.4,IT,Android Tablet,1
25,FEMALE,7/12/2014,89.4,IT,Android Tablet,1
44,FEMALE,8/13/2014,89.4,IT,Android Tablet,1
48,FEMALE,4/10/2015,89.4,IT,Android Tablet,1
37,MALE,11/6/2011,63.22,NL,Android Tablet,1
38,MALE,1/23/2012,63.22,NL,Android Tablet,1
34,MALE,3/23/2014,63.22,NL,Android Tablet,1
30,MALE,5/12/2014,95.45,PT,Android Tablet,1
19,MALE,6/26/2014,95.45,PT,Android Tablet,1
55,FEMALE,10/29/2010,0,US,Android Tablet,1
38,FEMALE,8/4/2011,0,US,Android Tablet,1
35,MALE,9/22/2011,0,US,Android Tablet,1
44,FEMALE,2/19/2012,0,US,Android Tablet,1
47,FEMALE,3/7/2012,0,US,Android Tablet,1
38,FEMALE,3/20/2012,0,US,Android Tablet,1
33,FEMALE,4/6/2012,0,US,Android Tablet,1
33,FEMALE,4/11/2012,0,US,Android Tablet,1
35,FEMALE,6/14/2012,0,US,Android Tablet,1
53,MALE,6/30/2012,0,US,Android Tablet,1
38,FEMALE,7/25/2012,0,US,Android Tablet,1
28,FEMALE,7/30/2012,0,US,Android Tablet,1
30,MALE,8/6/2012,0,US,Android Tablet,1
34,MALE,8/20/2012,0,US,Android Tablet,1
56,MALE,8/21/2012,0,US,Android Tablet,1
35,FEMALE,8/28/2012,0,US,Android Tablet,1
39,MALE,9/10/2012,0,US,Android Tablet,1
27,FEMALE,10/10/2012,0,US,Android Tablet,1
30,MALE,11/8/2012,0,US,Android Tablet,1
28,FEMALE,12/5/2012,0,US,Android Tablet,1
44,MALE,1/4/2013,0,US,Android Tablet,1
33,MALE,1/18/2013,0,US,Android Tablet,1
33,MALE,2/1/2013,0,US,Android Tablet,1
38,MALE,2/22/2013,0,US,Android Tablet,1
42,MALE,3/2/2013,0,US,Android Tablet,1
41,FEMALE,3/25/2013,0,US,Android Tablet,1
33,FEMALE,4/3/2013,0,US,Android Tablet,1
65,FEMALE,4/7/2013,0,US,Android Tablet,1
30,FEMALE,4/13/2013,0,US,Android Tablet,1
33,MALE,4/19/2013,0,US,Android Tablet,1
52,MALE,4/24/2013,0,US,Android Tablet,1
31,FEMALE,5/1/2013,0,US,Android Tablet,1
28,FEMALE,5/5/2013,0,US,Android Tablet,1
27,FEMALE,5/14/2013,0,US,Android Tablet,1
34,FEMALE,5/16/2013,0,US,Android Tablet,1
27,MALE,5/17/2013,0,US,Android Tablet,1
35,FEMALE,5/20/2013,0,US,Android Tablet,1
54,FEMALE,5/20/2013,0,US,Android Tablet,1
40,MALE,5/26/2013,0,US,Android Tablet,1
25,FEMALE,5/31/2013,0,US,Android Tablet,1
33,MALE,5/31/2013,0,US,Android Tablet,1
102,MALE,6/4/2013,0,US,Android Tablet,1
29,FEMALE,7/16/2013,0,US,Android Tablet,1
52,FEMALE,7/18/2013,0,US,Android Tablet,1
37,FEMALE,7/29/2013,0,US,Android Tablet,1
22,FEMALE,8/11/2013,0,US,Android Tablet,1
54,MALE,8/14/2013,0,US,Android Tablet,1
41,MALE,8/23/2013,0,US,Android Tablet,1
26,MALE,8/24/2013,0,US,Android Tablet,1
36,FEMALE,8/26/2013,0,US,Android Tablet,1
29,FEMALE,9/4/2013,0,US,Android Tablet,1
32,FEMALE,9/6/2013,0,US,Android Tablet,1
74,FEMALE,9/7/2013,0,US,Android Tablet,1
27,FEMALE,9/27/2013,0,US,Android Tablet,1
33,MALE,10/3/2013,0,US,Android Tablet,1
42,FEMALE,10/7/2013,0,US,Android Tablet,2
63,MALE,10/10/2013,0,US,Android Tablet,1
34,FEMALE,10/11/2013,0,US,Android Tablet,1
31,FEMALE,10/24/2013,0,US,Android Tablet,1
27,FEMALE,10/25/2013,0,US,Android Tablet,1
30,FEMALE,11/1/2013,0,US,Android Tablet,1
35,FEMALE,11/11/2013,0,US,Android Tablet,1
28,MALE,11/20/2013,0,US,Android Tablet,1
43,MALE,11/26/2013,0,US,Android Tablet,1
39,FEMALE,11/29/2013,0,US,Android Tablet,1
45,MALE,12/15/2013,0,US,Android Tablet,1
29,MALE,12/19/2013,0,US,Android Tablet,1
51,MALE,12/19/2013,0,US,Android Tablet,1
23,MALE,12/21/2013,0,US,Android Tablet,1
40,MALE,12/27/2013,0,US,Android Tablet,1
33,FEMALE,12/28/2013,0,US,Android Tablet,1
37,FEMALE,12/31/2013,0,US,Android Tablet,1
37,MALE,1/5/2014,0,US,Android Tablet,1
24,MALE,1/10/2014,0,US,Android Tablet,1
37,FEMALE,1/11/2014,0,US,Android Tablet,1
38,FEMALE,1/11/2014,0,US,Android Tablet,1
28,MALE,1/17/2014,0,US,Android Tablet,1
59,FEMALE,1/20/2014,0,US,Android Tablet,1
55,MALE,1/21/2014,0,US,Android Tablet,1
38,FEMALE,1/22/2014,0,US,Android Tablet,1
33,MALE,1/22/2014,0,US,Android Tablet,1
66,MALE,1/24/2014,0,US,Android Tablet,1
30,FEMALE,1/25/2014,0,US,Android Tablet,1
27,MALE,2/8/2014,0,US,Android Tablet,1
33,FEMALE,2/11/2014,0,US,Android Tablet,1
24,FEMALE,2/13/2014,0,US,Android Tablet,1
42,MALE,2/13/2014,0,US,Android Tablet,1
29,MALE,2/17/2014,0,US,Android Tablet,1
36,FEMALE,2/18/2014,0,US,Android Tablet,1
34,FEMALE,2/19/2014,0,US,Android Tablet,1
69,FEMALE,2/21/2014,0,US,Android Tablet,1
